




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
catalytic activity, acting on a protein (GO:0140096)	2325	317	253.85	+	1.25	1.14E-04	1.03E-02
protein binding (GO:0005515)	14448	1904	1577.50	+	1.21	9.69E-53	4.82E-49
binding (GO:0005488)	16594	2075	1811.81	+	1.15	3.33E-50	8.27E-47
ion binding (GO:0043167)	6088	743	664.72	+	1.12	6.82E-04	4.29E-02
molecular_function (GO:0003674)	18292	2173	1997.20	+	1.09	6.58E-39	1.09E-35
signaling receptor binding (GO:0005102)	1602	124	174.91	-	.71	7.58E-05	8.20E-03
channel activity (GO:0015267)	502	29	54.81	-	.53	2.90E-04	2.22E-02
passive transmembrane transporter activity (GO:0022803)	503	29	54.92	-	.53	2.90E-04	2.19E-02
cation channel activity (GO:0005261)	349	18	38.11	-	.47	7.33E-04	4.56E-02
receptor ligand activity (GO:0048018)	497	25	54.26	-	.46	2.79E-05	3.56E-03
signaling receptor activator activity (GO:0030546)	504	25	55.03	-	.45	1.65E-05	2.29E-03
signaling receptor regulator activity (GO:0030545)	553	27	60.38	-	.45	5.30E-06	7.99E-04
gated channel activity (GO:0022836)	346	15	37.78	-	.40	7.80E-05	8.26E-03
molecular transducer activity (GO:0060089)	1554	59	169.67	-	.35	4.83E-22	2.18E-19
signaling receptor activity (GO:0038023)	1554	59	169.67	-	.35	4.83E-22	2.00E-19
voltage-gated ion channel activity (GO:0005244)	202	7	22.06	-	.32	6.22E-04	4.02E-02
voltage-gated channel activity (GO:0022832)	203	7	22.16	-	.32	6.32E-04	4.03E-02
Unclassified (UNCLASSIFIED)	2297	75	250.80	-	.30	6.58E-39	8.19E-36
transmembrane signaling receptor activity (GO:0004888)	1332	39	145.43	-	.27	1.04E-24	5.74E-22
voltage-gated cation channel activity (GO:0022843)	152	3	16.60	-	.18	1.97E-04	1.66E-02
antigen binding (GO:0003823)	194	3	21.18	-	.14	5.37E-06	7.85E-04
G protein-coupled receptor activity (GO:0004930)	882	12	96.30	-	.12	3.64E-26	2.59E-23
extracellular matrix structural constituent (GO:0005201)	174	2	19.00	-	.11	4.99E-06	8.01E-04
olfactory receptor activity (GO:0004984)	441	1	48.15	-	.02	6.16E-19	2.36E-16
immunoglobulin receptor binding (GO:0034987)	97	0	10.59	-	 < 0.01	9.43E-05	9.39E-03
odorant binding (GO:0005549)	122	0	13.32	-	 < 0.01	4.95E-06	8.21E-04
