GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of cell cycle process (GO:0010948)	272	56	29.70	+	1.89	4.91E-05	3.25E-03
mRNA splicing, via spliceosome (GO:0000398)	243	50	26.53	+	1.88	1.05E-04	6.21E-03
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	243	50	26.53	+	1.88	1.05E-04	6.19E-03
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	190	39	20.75	+	1.88	7.18E-04	3.15E-02
protein acylation (GO:0043543)	195	40	21.29	+	1.88	5.72E-04	2.60E-02
regulation of cell cycle phase transition (GO:1901987)	431	88	47.06	+	1.87	4.50E-07	4.30E-05
cellular macromolecule catabolic process (GO:0044265)	785	160	85.71	+	1.87	6.22E-12	1.41E-09
regulation of cellular macromolecule biosynthetic process (GO:2000112)	493	100	53.83	+	1.86	8.28E-08	9.02E-06
positive regulation of cell projection organization (GO:0031346)	351	71	38.32	+	1.85	6.95E-06	5.68E-04
positive regulation of intracellular transport (GO:0032388)	203	41	22.16	+	1.85	7.11E-04	3.12E-02
mRNA processing (GO:0006397)	451	91	49.24	+	1.85	3.75E-07	3.70E-05
cell division (GO:0051301)	514	103	56.12	+	1.84	1.00E-07	1.07E-05
macromolecule catabolic process (GO:0009057)	989	198	107.98	+	1.83	5.33E-14	1.55E-11
regulation of cell cycle process (GO:0010564)	715	143	78.07	+	1.83	2.78E-10	4.96E-08
establishment or maintenance of cell polarity (GO:0007163)	210	42	22.93	+	1.83	6.21E-04	2.79E-02
glycerolipid biosynthetic process (GO:0045017)	225	45	24.57	+	1.83	4.26E-04	2.03E-02
nucleic acid metabolic process (GO:0090304)	2276	454	248.50	+	1.83	2.69E-32	5.27E-29
regulation of mRNA metabolic process (GO:1903311)	301	60	32.86	+	1.83	5.29E-05	3.44E-03
negative regulation of cell cycle (GO:0045786)	359	71	39.20	+	1.81	1.29E-05	9.94E-04
regulation of response to DNA damage stimulus (GO:2001020)	314	62	34.28	+	1.81	5.13E-05	3.35E-03
DNA-templated transcription (GO:0006351)	613	121	66.93	+	1.81	1.55E-08	1.87E-06
regulation of neuron apoptotic process (GO:0043523)	218	43	23.80	+	1.81	7.47E-04	3.24E-02
regulation of endocytosis (GO:0030100)	208	41	22.71	+	1.81	1.19E-03	4.79E-02
nucleic acid-templated transcription (GO:0097659)	614	121	67.04	+	1.80	1.58E-08	1.89E-06
regulation of neuron death (GO:1901214)	325	64	35.48	+	1.80	4.64E-05	3.10E-03
actin filament organization (GO:0007015)	275	54	30.03	+	1.80	1.72E-04	9.15E-03
phosphorylation (GO:0016310)	918	180	100.23	+	1.80	4.68E-12	1.10E-09
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	347	68	37.89	+	1.79	2.75E-05	2.01E-03
proteasomal protein catabolic process (GO:0010498)	378	74	41.27	+	1.79	1.39E-05	1.06E-03
regulation of intracellular protein transport (GO:0033157)	231	45	25.22	+	1.78	7.20E-04	3.15E-02
protein phosphorylation (GO:0006468)	719	140	78.50	+	1.78	1.91E-09	2.83E-07
methylation (GO:0032259)	329	64	35.92	+	1.78	5.34E-05	3.46E-03
histone modification (GO:0016570)	365	71	39.85	+	1.78	2.13E-05	1.58E-03
regulation of chromosome organization (GO:0033044)	252	49	27.51	+	1.78	4.16E-04	2.00E-02
RNA biosynthetic process (GO:0032774)	624	121	68.13	+	1.78	2.95E-08	3.35E-06
regulation of protein modification by small protein conjugation or removal (GO:1903320)	253	49	27.62	+	1.77	4.34E-04	2.06E-02
response to peptide hormone (GO:0043434)	363	70	39.63	+	1.77	4.01E-05	2.74E-03
regulation of small GTPase mediated signal transduction (GO:0051056)	312	60	34.07	+	1.76	1.41E-04	7.89E-03
gene expression (GO:0010467)	2314	444	252.65	+	1.76	3.47E-28	3.20E-25
cellular response to peptide hormone stimulus (GO:0071375)	241	46	26.31	+	1.75	9.19E-04	3.87E-02
regulation of intracellular transport (GO:0032386)	342	65	37.34	+	1.74	9.90E-05	5.90E-03
protein ubiquitination (GO:0016567)	684	130	74.68	+	1.74	2.78E-08	3.18E-06
non-membrane-bounded organelle assembly (GO:0140694)	316	60	34.50	+	1.74	1.62E-04	8.78E-03
regulation of mitotic cell cycle phase transition (GO:1901990)	332	63	36.25	+	1.74	1.16E-04	6.71E-03
protein targeting (GO:0006605)	243	46	26.53	+	1.73	9.93E-04	4.13E-02
regulation of protein stability (GO:0031647)	333	63	36.36	+	1.73	1.60E-04	8.73E-03
regulation of mitotic cell cycle (GO:0007346)	493	93	53.83	+	1.73	4.19E-06	3.53E-04
protein modification by small protein conjugation (GO:0032446)	753	142	82.22	+	1.73	8.27E-09	1.05E-06
actin cytoskeleton organization (GO:0030036)	549	103	59.94	+	1.72	1.33E-06	1.23E-04
regulation of cell cycle (GO:0051726)	1122	210	122.51	+	1.71	3.14E-12	7.69E-10
intracellular protein transport (GO:0006886)	682	127	74.46	+	1.71	1.02E-07	1.08E-05
nucleobase-containing compound metabolic process (GO:0006139)	2825	526	308.45	+	1.71	4.72E-31	6.72E-28
phospholipid metabolic process (GO:0006644)	367	68	40.07	+	1.70	1.22E-04	6.99E-03
regulation of protein catabolic process (GO:0042176)	367	68	40.07	+	1.70	1.22E-04	6.97E-03
regulation of cellular response to stress (GO:0080135)	709	131	77.41	+	1.69	9.15E-08	9.83E-06
regulation of cellular catabolic process (GO:0031329)	786	145	85.82	+	1.69	2.16E-08	2.49E-06
cellular response to DNA damage stimulus (GO:0006974)	756	139	82.54	+	1.68	4.55E-08	5.06E-06
protein modification by small protein conjugation or removal (GO:0070647)	898	165	98.05	+	1.68	2.76E-09	3.86E-07
cell cycle process (GO:0022402)	841	154	91.82	+	1.68	1.22E-08	1.49E-06
chromosome organization (GO:0051276)	444	81	48.48	+	1.67	4.22E-05	2.85E-03
heterocycle metabolic process (GO:0046483)	2999	546	327.44	+	1.67	2.77E-30	3.34E-27
actin filament-based process (GO:0030029)	611	111	66.71	+	1.66	2.26E-06	2.00E-04
peptidyl-amino acid modification (GO:0018193)	882	160	96.30	+	1.66	1.00E-08	1.24E-06
cell cycle (GO:0007049)	1249	226	136.37	+	1.66	6.70E-12	1.50E-09
cellular aromatic compound metabolic process (GO:0006725)	3050	551	333.01	+	1.65	9.01E-30	9.42E-27
transcription by RNA polymerase II (GO:0006366)	356	64	38.87	+	1.65	4.73E-04	2.20E-02
response to peptide (GO:1901652)	445	80	48.59	+	1.65	7.82E-05	4.83E-03
DNA repair (GO:0006281)	508	91	55.47	+	1.64	2.76E-05	2.01E-03
organic cyclic compound metabolic process (GO:1901360)	3292	588	359.44	+	1.64	6.42E-31	8.39E-28
organonitrogen compound catabolic process (GO:1901565)	1112	198	121.41	+	1.63	5.72E-10	9.43E-08
DNA metabolic process (GO:0006259)	794	140	86.69	+	1.61	3.89E-07	3.81E-05
regulation of catabolic process (GO:0009894)	987	174	107.77	+	1.61	1.25E-08	1.52E-06
cellular response to hormone stimulus (GO:0032870)	489	86	53.39	+	1.61	8.82E-05	5.36E-03
cytoskeleton organization (GO:0007010)	1240	218	135.39	+	1.61	1.65E-10	3.04E-08
regulation of DNA metabolic process (GO:0051052)	541	95	59.07	+	1.61	3.54E-05	2.48E-03
organophosphate biosynthetic process (GO:0090407)	549	96	59.94	+	1.60	3.95E-05	2.71E-03
regulation of GTPase activity (GO:0043087)	378	66	41.27	+	1.60	6.87E-04	3.03E-02
localization within membrane (GO:0051668)	541	94	59.07	+	1.59	6.15E-05	3.92E-03
cellular nitrogen compound metabolic process (GO:0034641)	3573	619	390.12	+	1.59	1.44E-29	1.41E-26
protein localization to membrane (GO:0072657)	451	78	49.24	+	1.58	2.81E-04	1.42E-02
positive regulation of cellular catabolic process (GO:0031331)	411	71	44.87	+	1.58	6.29E-04	2.82E-02
translation (GO:0006412)	379	65	41.38	+	1.57	1.22E-03	4.89E-02
negative regulation of protein modification process (GO:0031400)	503	86	54.92	+	1.57	1.93E-04	1.01E-02
regulation of neuron projection development (GO:0010975)	445	76	48.59	+	1.56	4.55E-04	2.13E-02
lipid biosynthetic process (GO:0008610)	604	103	65.95	+	1.56	4.96E-05	3.27E-03
regulation of cytoskeleton organization (GO:0051493)	540	92	58.96	+	1.56	1.39E-04	7.81E-03
cellular component biogenesis (GO:0044085)	2633	447	287.48	+	1.55	6.01E-19	3.62E-16
negative regulation of gene expression (GO:0010629)	902	153	98.48	+	1.55	7.87E-07	7.43E-05
cellular macromolecule metabolic process (GO:0044260)	2518	427	274.93	+	1.55	6.18E-18	3.03E-15
response to hormone (GO:0009725)	767	130	83.74	+	1.55	5.84E-06	4.79E-04
positive regulation of cellular component organization (GO:0051130)	1054	178	115.08	+	1.55	1.27E-07	1.31E-05
protein-containing complex assembly (GO:0065003)	1270	213	138.66	+	1.54	1.16E-08	1.44E-06
positive regulation of catabolic process (GO:0009896)	513	86	56.01	+	1.54	3.71E-04	1.81E-02
macromolecule modification (GO:0043412)	2883	482	314.78	+	1.53	2.11E-19	1.32E-16
phosphate-containing compound metabolic process (GO:0006796)	1855	310	202.54	+	1.53	3.16E-12	7.61E-10
phosphorus metabolic process (GO:0006793)	1881	313	205.38	+	1.52	3.33E-12	7.91E-10
regulation of cell projection organization (GO:0031344)	656	109	71.63	+	1.52	7.39E-05	4.58E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	1007	167	109.95	+	1.52	9.61E-07	8.97E-05
positive regulation of organelle organization (GO:0010638)	508	84	55.47	+	1.51	5.92E-04	2.68E-02
cellular metabolic process (GO:0044237)	6606	1091	721.27	+	1.51	7.78E-53	1.22E-48
protein-containing complex organization (GO:0043933)	1423	235	155.37	+	1.51	5.09E-09	6.99E-07
cellular response to stress (GO:0033554)	1599	264	174.59	+	1.51	4.63E-10	7.72E-08
protein modification process (GO:0036211)	2658	438	290.21	+	1.51	1.63E-16	6.09E-14
regulation of cellular component organization (GO:0051128)	2364	389	258.11	+	1.51	1.66E-14	5.11E-12
protein transport (GO:0015031)	1179	194	128.73	+	1.51	1.91E-07	1.91E-05
microtubule cytoskeleton organization (GO:0000226)	547	90	59.72	+	1.51	4.35E-04	2.06E-02
negative regulation of intracellular signal transduction (GO:1902532)	518	85	56.56	+	1.50	6.68E-04	2.95E-02
organic cyclic compound biosynthetic process (GO:1901362)	1216	199	132.77	+	1.50	1.73E-07	1.74E-05
establishment of protein localization (GO:0045184)	1267	207	138.34	+	1.50	1.10E-07	1.16E-05
intracellular transport (GO:0046907)	1360	222	148.49	+	1.50	3.21E-08	3.62E-06
regulation of establishment of protein localization (GO:0070201)	527	86	57.54	+	1.49	7.35E-04	3.20E-02
heterocycle biosynthetic process (GO:0018130)	1079	176	117.81	+	1.49	1.27E-06	1.18E-04
positive regulation of cell death (GO:0010942)	583	95	63.65	+	1.49	3.97E-04	1.93E-02
organic substance catabolic process (GO:1901575)	1679	273	183.32	+	1.49	1.05E-09	1.62E-07
positive regulation of RNA metabolic process (GO:0051254)	1848	300	201.77	+	1.49	1.39E-10	2.59E-08
cellular macromolecule localization (GO:0070727)	1925	312	210.18	+	1.48	6.70E-11	1.36E-08
macromolecule localization (GO:0033036)	2345	380	256.04	+	1.48	2.39E-13	6.70E-11
cellular catabolic process (GO:0044248)	1625	263	177.42	+	1.48	2.73E-09	3.85E-07
protein localization (GO:0008104)	1919	310	209.53	+	1.48	1.03E-10	1.98E-08
nitrogen compound transport (GO:0071705)	1589	256	173.49	+	1.48	8.00E-09	1.04E-06
macromolecule metabolic process (GO:0043170)	5941	957	648.67	+	1.48	4.80E-39	1.08E-35
regulation of plasma membrane bounded cell projection organization (GO:0120035)	640	103	69.88	+	1.47	3.46E-04	1.72E-02
establishment of localization in cell (GO:0051649)	1752	280	191.29	+	1.46	2.67E-09	3.80E-07
aromatic compound biosynthetic process (GO:0019438)	1089	174	118.90	+	1.46	4.57E-06	3.79E-04
organelle organization (GO:0006996)	3026	483	330.39	+	1.46	4.24E-16	1.48E-13
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	2058	328	224.70	+	1.46	1.12E-10	2.11E-08
regulation of protein metabolic process (GO:0051246)	2587	412	282.46	+	1.46	1.84E-13	5.25E-11
positive regulation of nucleic acid-templated transcription (GO:1903508)	1715	273	187.25	+	1.46	6.18E-09	8.35E-07
positive regulation of DNA-templated transcription (GO:0045893)	1715	273	187.25	+	1.46	6.18E-09	8.28E-07
regulation of anatomical structure morphogenesis (GO:0022603)	924	147	100.89	+	1.46	3.13E-05	2.23E-03
nitrogen compound metabolic process (GO:0006807)	6710	1067	732.63	+	1.46	1.83E-43	5.75E-40
positive regulation of RNA biosynthetic process (GO:1902680)	1721	273	187.91	+	1.45	8.22E-09	1.06E-06
regulation of kinase activity (GO:0043549)	783	124	85.49	+	1.45	1.66E-04	8.88E-03
macromolecule biosynthetic process (GO:0009059)	1487	235	162.36	+	1.45	1.34E-07	1.37E-05
primary metabolic process (GO:0044238)	7228	1141	789.19	+	1.45	8.55E-47	6.71E-43
positive regulation of macromolecule biosynthetic process (GO:0010557)	1943	306	212.15	+	1.44	1.73E-09	2.63E-07
regulation of intracellular signal transduction (GO:1902531)	1721	271	187.91	+	1.44	1.64E-08	1.95E-06
regulation of protein modification process (GO:0031399)	1563	246	170.66	+	1.44	8.34E-08	9.01E-06
regulation of organelle organization (GO:0033043)	1189	187	129.82	+	1.44	4.45E-06	3.71E-04
negative regulation of cellular metabolic process (GO:0031324)	2264	356	247.19	+	1.44	6.17E-11	1.27E-08
cellular localization (GO:0051641)	2655	417	289.88	+	1.44	8.45E-13	2.21E-10
catabolic process (GO:0009056)	1974	310	215.53	+	1.44	1.44E-09	2.21E-07
regulation of cellular localization (GO:0060341)	962	151	105.04	+	1.44	4.36E-05	2.94E-03
positive regulation of cellular metabolic process (GO:0031325)	3122	490	340.87	+	1.44	3.31E-15	1.08E-12
negative regulation of protein metabolic process (GO:0051248)	1042	163	113.77	+	1.43	2.31E-05	1.71E-03
intracellular signal transduction (GO:0035556)	1511	236	164.98	+	1.43	3.16E-07	3.13E-05
cellular nitrogen compound biosynthetic process (GO:0044271)	1588	248	173.39	+	1.43	1.56E-07	1.59E-05
cell death (GO:0008219)	1108	173	120.98	+	1.43	1.64E-05	1.24E-03
regulation of protein kinase activity (GO:0045859)	668	104	72.94	+	1.43	1.08E-03	4.42E-02
organic substance biosynthetic process (GO:1901576)	2534	394	276.67	+	1.42	1.67E-11	3.68E-09
cellular component organization or biogenesis (GO:0071840)	5727	890	625.30	+	1.42	6.18E-30	6.92E-27
organic substance transport (GO:0071702)	1964	305	214.44	+	1.42	6.26E-09	8.32E-07
regulation of protein localization (GO:0032880)	850	132	92.81	+	1.42	2.34E-04	1.21E-02
positive regulation of cellular biosynthetic process (GO:0031328)	2048	318	223.61	+	1.42	2.57E-09	3.69E-07
regulation of cellular component biogenesis (GO:0044087)	951	147	103.83	+	1.42	1.17E-04	6.74E-03
cellular component assembly (GO:0022607)	2394	369	261.39	+	1.41	2.11E-10	3.85E-08
regulation of transferase activity (GO:0051338)	915	141	99.90	+	1.41	1.67E-04	8.91E-03
positive regulation of transcription by RNA polymerase II (GO:0045944)	1259	194	137.46	+	1.41	9.57E-06	7.54E-04
protein metabolic process (GO:0019538)	3920	603	428.00	+	1.41	1.89E-17	8.70E-15
positive regulation of biosynthetic process (GO:0009891)	2087	321	227.87	+	1.41	5.28E-09	7.21E-07
biosynthetic process (GO:0009058)	2603	400	284.21	+	1.41	4.31E-11	9.13E-09
organophosphate metabolic process (GO:0019637)	931	143	101.65	+	1.41	1.87E-04	9.85E-03
organic substance metabolic process (GO:0071704)	7697	1182	840.39	+	1.41	1.35E-43	5.29E-40
hematopoietic or lymphoid organ development (GO:0048534)	710	109	77.52	+	1.41	1.22E-03	4.89E-02
positive regulation of protein metabolic process (GO:0051247)	1515	232	165.41	+	1.40	1.45E-06	1.33E-04
programmed cell death (GO:0012501)	1074	164	117.26	+	1.40	6.86E-05	4.32E-03
