




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
organelle lumen (GO:0043233)	5614	992	612.96	+	1.62	1.05E-58	4.29E-56
intracellular organelle lumen (GO:0070013)	5614	992	612.96	+	1.62	1.05E-58	3.58E-56
membrane-enclosed lumen (GO:0031974)	5614	992	612.96	+	1.62	1.05E-58	3.07E-56
actin cytoskeleton (GO:0015629)	510	90	55.68	+	1.62	5.15E-05	1.75E-03
secretory granule lumen (GO:0034774)	320	56	34.94	+	1.60	1.61E-03	2.89E-02
cytoplasmic vesicle lumen (GO:0060205)	323	56	35.27	+	1.59	2.21E-03	3.76E-02
cytosol (GO:0005829)	5458	943	595.93	+	1.58	1.82E-50	3.10E-48
vesicle lumen (GO:0031983)	325	56	35.48	+	1.58	2.30E-03	3.89E-02
envelope (GO:0031975)	1260	216	137.57	+	1.57	1.56E-09	9.99E-08
organelle envelope (GO:0031967)	1260	216	137.57	+	1.57	1.56E-09	9.69E-08
microtubule organizing center (GO:0005815)	840	143	91.71	+	1.56	1.72E-06	7.83E-05
chromosome (GO:0005694)	1852	312	202.21	+	1.54	1.04E-12	8.18E-11
transcription regulator complex (GO:0005667)	512	85	55.90	+	1.52	4.83E-04	1.05E-02
focal adhesion (GO:0005925)	423	70	46.19	+	1.52	1.68E-03	2.98E-02
intracellular non-membrane-bounded organelle (GO:0043232)	5225	858	570.49	+	1.50	2.37E-36	3.45E-34
non-membrane-bounded organelle (GO:0043228)	5226	858	570.60	+	1.50	2.41E-36	3.28E-34
perinuclear region of cytoplasm (GO:0048471)	742	121	81.01	+	1.49	6.99E-05	2.23E-03
cell-substrate junction (GO:0030055)	433	70	47.28	+	1.48	3.06E-03	4.85E-02
microtubule cytoskeleton (GO:0015630)	1374	222	150.02	+	1.48	7.51E-08	4.15E-06
mitochondrion (GO:0005739)	1671	267	182.45	+	1.46	6.66E-09	3.89E-07
cell-cell junction (GO:0005911)	508	81	55.47	+	1.46	1.99E-03	3.44E-02
mitochondrial inner membrane (GO:0005743)	497	79	54.26	+	1.46	2.83E-03	4.58E-02
mitochondrial matrix (GO:0005759)	486	77	53.06	+	1.45	3.21E-03	4.96E-02
nucleus (GO:0005634)	7682	1211	838.76	+	1.44	2.39E-51	4.44E-49
mitochondrial membrane (GO:0031966)	749	117	81.78	+	1.43	3.79E-04	8.71E-03
mitochondrial envelope (GO:0005740)	798	124	87.13	+	1.42	3.63E-04	8.42E-03
chromatin (GO:0000785)	1278	197	139.54	+	1.41	7.27E-06	2.91E-04
protein-containing complex (GO:0032991)	5771	889	630.10	+	1.41	1.02E-28	1.30E-26
anchoring junction (GO:0070161)	1336	205	145.87	+	1.41	5.95E-06	2.43E-04
cytoskeleton (GO:0005856)	2401	364	262.15	+	1.39	1.87E-09	1.12E-07
vesicle membrane (GO:0012506)	1215	177	132.66	+	1.33	3.42E-04	8.21E-03
cytoplasmic vesicle membrane (GO:0030659)	1196	174	130.58	+	1.33	4.40E-04	9.77E-03
supramolecular complex (GO:0099080)	1410	200	153.95	+	1.30	5.07E-04	1.08E-02
intracellular membrane-bounded organelle (GO:0043231)	12154	1717	1327.03	+	1.29	5.66E-61	3.86E-58
cytoplasmic vesicle (GO:0031410)	2493	348	272.20	+	1.28	7.43E-06	2.92E-04
intracellular vesicle (GO:0097708)	2496	348	272.52	+	1.28	8.73E-06	3.36E-04
cell junction (GO:0030054)	2136	297	233.22	+	1.27	5.43E-05	1.82E-03
intracellular organelle (GO:0043229)	13254	1831	1447.13	+	1.27	1.09E-64	1.11E-61
extracellular exosome (GO:0070062)	2100	290	229.29	+	1.26	1.18E-04	3.24E-03
organelle membrane (GO:0031090)	3688	508	402.67	+	1.26	1.08E-07	5.79E-06
cytoplasm (GO:0005737)	12097	1665	1320.81	+	1.26	3.05E-47	4.79E-45
extracellular vesicle (GO:1903561)	2123	292	231.80	+	1.26	1.27E-04	3.47E-03
extracellular organelle (GO:0043230)	2124	292	231.91	+	1.26	1.47E-04	3.84E-03
extracellular membrane-bounded organelle (GO:0065010)	2124	292	231.91	+	1.26	1.47E-04	3.79E-03
membrane-bounded organelle (GO:0043227)	13230	1796	1444.51	+	1.24	9.80E-54	2.00E-51
intracellular anatomical structure (GO:0005622)	14945	2018	1631.76	+	1.24	2.28E-82	4.66E-79
organelle (GO:0043226)	14064	1885	1535.57	+	1.23	5.63E-58	1.44E-55
vesicle (GO:0031982)	3975	532	434.01	+	1.23	1.35E-06	6.40E-05
endomembrane system (GO:0012505)	4749	620	518.52	+	1.20	2.38E-06	1.04E-04
cellular anatomical entity (GO:0110165)	18802	2157	2052.89	+	1.05	1.95E-16	1.90E-14
cellular_component (GO:0005575)	18949	2172	2068.94	+	1.05	9.42E-18	1.01E-15
cell periphery (GO:0071944)	6460	612	705.33	-	.87	4.87E-05	1.72E-03
plasma membrane (GO:0005886)	5977	564	652.60	-	.86	7.60E-05	2.35E-03
extracellular region (GO:0005576)	4396	401	479.98	-	.84	8.55E-05	2.57E-03
intrinsic component of membrane (GO:0031224)	5958	473	650.52	-	.73	5.78E-16	5.37E-14
integral component of membrane (GO:0016021)	5799	458	633.16	-	.72	7.47E-16	6.35E-14
intrinsic component of plasma membrane (GO:0031226)	1806	139	197.19	-	.70	1.67E-05	6.32E-04
integral component of plasma membrane (GO:0005887)	1724	132	188.23	-	.70	2.28E-05	8.31E-04
cell surface (GO:0009986)	995	74	108.64	-	.68	7.46E-04	1.48E-02
plasma membrane protein complex (GO:0098797)	726	47	79.27	-	.59	2.16E-04	5.51E-03
side of membrane (GO:0098552)	711	45	77.63	-	.58	1.43E-04	3.80E-03
plasma membrane signaling receptor complex (GO:0098802)	330	18	36.03	-	.50	1.96E-03	3.46E-02
Unclassified (UNCLASSIFIED)	1640	76	179.06	-	.42	9.42E-18	1.07E-15
external side of plasma membrane (GO:0009897)	485	22	52.95	-	.42	5.14E-06	2.14E-04
T cell receptor complex (GO:0042101)	149	0	16.27	-	 < 0.01	2.79E-07	1.43E-05
immunoglobulin complex (GO:0019814)	188	0	20.53	-	 < 0.01	7.59E-09	4.31E-07
immunoglobulin complex, circulating (GO:0042571)	94	0	10.26	-	 < 0.01	8.83E-05	2.61E-03
